end_of_quarter,ticker,industry,sector,fte,auditrisk,compensationrisk,boardrisk,shareholderrightsrisk,maxage,dividends,weekly_price_0,weekly_price_1,weekly_price_2,weekly_price_3,weekly_price_4,weekly_price_5,weekly_price_6,weekly_price_7,weekly_price_8,weekly_price_9,increase
2022-03-31,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.49,159.35680541992187,159.38528442382812,156.38736724853516,151.1167724609375,146.86681213378907,143.5334259033203,137.05596618652345,131.47551727294922,132.1897766113281,129.40816345214844,-0.11954976779076804
2022-06-30,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.49,134.76834106445312,134.49700927734375,133.58687591552734,134.37482299804688,130.88522338867188,134.2670104980469,134.1933380126953,133.9594970703125,132.94845886230468,133.82969665527344,-0.12330978052814939
2022-09-30,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.49,117.02667236328125,117.4849796295166,117.25718536376954,120.17944946289063,126.57212982177734,131.43470153808593,135.6946807861328,134.76718444824218,127.6766845703125,114.22652130126953,0.10390755726650973
2022-12-31,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.49,101.3117904663086,103.17299194335938,101.61251678466797,105.24140167236328,111.66851043701172,113.98997802734375,116.62132263183594,118.80033416748047,119.02531051635742,116.82368774414063,-0.1496624164603977
2023-03-31,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.5,115.32192802429199,119.26880187988282,113.2650146484375,107.47920074462891,107.84095764160156,106.75754241943359,106.1618423461914,102.18692779541016,102.89276580810547,100.3325698852539,-0.04149449438711611
2023-06-30,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.5,97.69437026977539,96.49368667602539,98.42464294433594,99.31375885009766,98.47915802001953,97.15394592285156,94.94337921142578,94.05612640380859,94.15386352539062,92.11865615844727,-0.05065339204889018
2023-09-30,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.5,95.5011215209961,93.8337459564209,96.52970428466797,98.62311096191407,104.92051849365234,103.74882202148437,99.52001953125,97.06701965332032,95.83504028320313,102.21887664794922,0.23077281096272714
2023-12-31,MMM,Conglomerates,industrials,85000.0,4.0,7.0,8.0,4.0,86400,1.5,85.85254516601563,86.72799835205078,85.70534820556641,85.46905212402343,88.55250396728516,89.77271575927735,92.68504333496094,93.51916313171387,96.98312530517578,101.2325454711914,-0.0030753712025077926
2022-03-31,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.28,80.51383514404297,79.50770721435546,75.6617374420166,73.06570434570312,72.24373779296874,70.58247985839844,69.04455871582032,66.14698028564453,65.84922637939454,64.28046951293945,-0.13843981168974487
2022-06-30,AOS,Specialty Industrial Machinery,industrials,12000.0,2.0,7.0,10.0,10.0,86400,0.28,62.96224466959635,62.297359466552734,61.752920150756836,62.83698501586914,59.49692916870117,57.76347045898437,57.144003295898436,56.78199920654297,57.32209701538086,58.69460582733154,-0.10467404785751724
