end_of_quarter,end_of_quarter_release,ticker,industry,increase
2020-03-31,2020-05-12,FELE,Specialty Industrial Machinery,0.4194054266319089
2020-06-30,2020-08-11,FELE,Specialty Industrial Machinery,0.24466973363125663
2020-09-30,2020-11-06,FELE,Specialty Industrial Machinery,0.3675702454491216
2020-12-31,2021-03-03,FELE,Specialty Industrial Machinery,0.1434468332955485
2021-03-31,2021-05-07,FELE,Specialty Industrial Machinery,0.07353053658796753
2021-06-30,2021-08-10,FELE,Specialty Industrial Machinery,0.054546456198501014
2021-09-30,2021-11-09,FELE,Specialty Industrial Machinery,-0.24393692646307374
2021-12-31,2022-03-04,FELE,Specialty Industrial Machinery,0.03869294385071879
2022-03-31,2022-05-10,FELE,Specialty Industrial Machinery,0.16347972993929039
2022-06-30,2022-08-09,FELE,Specialty Industrial Machinery,0.005883881608640305
2022-09-30,2022-11-08,FELE,Specialty Industrial Machinery,0.16608780594969944
2022-12-31,2023-03-01,FELE,Specialty Industrial Machinery,0.02402374602800291
2023-03-31,2023-05-12,FELE,Specialty Industrial Machinery,-0.04480923122862743
2023-06-30,2023-08-04,FELE,Specialty Industrial Machinery,0.0023881858258659274
2023-09-30,2023-11-03,FELE,Specialty Industrial Machinery,0.17369042589583697
2023-12-31,2024-03-01,FELE,Specialty Industrial Machinery,-0.013951668853887001
2020-01-31,2020-03-12,KEYS,Scientific & Technical Instruments,0.12129671915657952
2020-04-30,2020-06-09,KEYS,Scientific & Technical Instruments,0.23295506256310658
2020-07-31,2020-09-08,KEYS,Scientific & Technical Instruments,0.4423385568966247
2020-10-31,2020-12-24,KEYS,Scientific & Technical Instruments,0.15273005319660277
2021-01-31,2021-03-10,KEYS,Scientific & Technical Instruments,0.3364133273026075
2021-04-30,2021-06-04,KEYS,Scientific & Technical Instruments,0.338191759762222
2021-07-31,2021-09-07,KEYS,Scientific & Technical Instruments,-0.16283049234504354
2021-10-31,2021-12-24,KEYS,Scientific & Technical Instruments,-0.3415091473482597
2022-01-31,2022-03-08,KEYS,Scientific & Technical Instruments,0.15981957724943546
2022-04-30,2022-06-08,KEYS,Scientific & Technical Instruments,0.22661698721324597
2022-07-31,2022-09-06,KEYS,Scientific & Technical Instruments,-0.023420790433831832
2022-10-31,2022-12-22,KEYS,Scientific & Technical Instruments,-0.05077155836473377
2023-01-31,2023-03-10,KEYS,Scientific & Technical Instruments,-0.14374469124775935
2023-04-30,2023-06-07,KEYS,Scientific & Technical Instruments,-0.12658699626482386
2023-07-31,2023-09-06,KEYS,Scientific & Technical Instruments,0.16263628332422034
2023-10-31,2023-12-22,KEYS,Scientific & Technical Instruments,-0.027385217175371217
2024-01-31,2024-03-12,KEYS,Scientific & Technical Instruments,0.018214125717450534
2020-03-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2020-06-30,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2020-09-30,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2020-12-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2021-03-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2021-06-30,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2021-09-30,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2021-12-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2022-03-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2022-07-03,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2022-10-02,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2023-01-01,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2023-04-02,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2023-07-02,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2023-10-01,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2023-12-31,2024-03-07,QDEL,Medical Devices,-0.04583052220076224
2020-03-31,2020-05-14,SSD,Lumber & Wood Production,0.35010982826413267
2020-06-30,2020-08-14,SSD,Lumber & Wood Production,-0.06786411979106666
2020-09-30,2020-11-13,SSD,Lumber & Wood Production,0.17968689987863146
2020-12-31,2021-03-05,SSD,Lumber & Wood Production,0.13140590707637945
2021-03-31,2021-05-13,SSD,Lumber & Wood Production,0.07348076919985887
2021-06-30,2021-08-13,SSD,Lumber & Wood Production,0.03588277260548081
2021-09-30,2021-11-11,SSD,Lumber & Wood Production,-0.13333631978255872
2021-12-31,2022-03-07,SSD,Lumber & Wood Production,-0.21685039842380982
2022-03-31,2022-05-13,SSD,Lumber & Wood Production,-0.08695655777147447
2022-06-30,2022-08-17,SSD,Lumber & Wood Production,0.06080809247385802
2022-09-30,2022-11-15,SSD,Lumber & Wood Production,0.3393691830152958
2022-12-31,2023-03-07,SSD,Lumber & Wood Production,0.4567864817178555
2023-03-31,2023-05-15,SSD,Lumber & Wood Production,0.25870104501576086
2023-06-30,2023-08-14,SSD,Lumber & Wood Production,0.19212423343898688
2023-09-30,2023-11-14,SSD,Lumber & Wood Production,0.22963318815776118
2023-12-31,2024-03-06,SSD,Lumber & Wood Production,-0.09401481937500972
2020-01-31,2020-03-16,MTN,Resorts & Casinos,0.42158964942157584
2020-04-30,2020-06-11,MTN,Resorts & Casinos,0.6297956202751823
2020-07-31,2020-10-01,MTN,Resorts & Casinos,0.35592777817301424
2020-10-31,2020-12-17,MTN,Resorts & Casinos,0.1610956163629472
2021-01-31,2021-03-18,MTN,Resorts & Casinos,-0.022434814729950348
2021-04-30,2021-06-14,MTN,Resorts & Casinos,0.01985836134134122
2021-07-31,2021-09-30,MTN,Resorts & Casinos,-0.18715041423305184
2021-10-31,2021-12-16,MTN,Resorts & Casinos,-0.26906816563572206
2022-01-31,2022-03-21,MTN,Resorts & Casinos,-0.12431184128932765
2022-04-30,2022-06-16,MTN,Resorts & Casinos,0.18791853176617923
2022-07-31,2022-10-05,MTN,Resorts & Casinos,0.06904219074433178
2022-10-31,2022-12-15,MTN,Resorts & Casinos,-0.009585628297370252
2023-01-31,2023-03-16,MTN,Resorts & Casinos,0.16300921593319073
2023-04-30,2023-06-15,MTN,Resorts & Casinos,-0.06721631332343823
2023-07-31,2023-10-05,MTN,Resorts & Casinos,0.10500097171885352
2023-10-31,2023-12-14,MTN,Resorts & Casinos,0.004323651692946911
2024-01-31,2024-03-18,MTN,Resorts & Casinos,0.02595795308799166
2020-01-31,2020-06-12,SAIC,Information Technology Services,0.1809300632745467
2020-05-01,2020-06-12,SAIC,Information Technology Services,0.1809300632745467
2020-07-31,2020-09-10,SAIC,Information Technology Services,0.17675265258342543
2020-10-30,2020-12-11,SAIC,Information Technology Services,-0.04303133549599181
2021-01-29,2021-06-11,SAIC,Information Technology Services,-0.11193066327943267
2021-04-30,2021-06-11,SAIC,Information Technology Services,-0.11193066327943267
2021-07-30,2021-09-10,SAIC,Information Technology Services,0.05344510175217671
